Palabra,Plural,Acento,Caracteristica
OUVERT,NULL,NULL,NULL
ÉPARGNE,ÉPARGNE,,
ANDROID,NULL,NULL,NULL
PUBLICITÉ,PUBLICITÉS,NULL,NULL
DEMANDE,NULL,DEMANDE,NULL
BET,Paris,MAINTENANT,NULL
ATTRACTIVE,ATTRACTIONS,NULL,NULL
AUTO,NULL,NULL,NULL
BAS,FAIBLE,,
BÉBÉ,BÉBÉS,BÉBÉS,BÉBÉ
BEAUTÉ,Beautés,NULL,NULL
AVANTAGES,AVANTAGES,NULL,NULL
BLUETOOTH,BLUETOOTH,NULL,NULL
BONUS,BONUS,BONUS,NULL
CHERCHER,CHERCHE,CHERCHE,NULL
CLIQUEZ,ICI,NULL,ICI
CLIQUEZ MAINTENANT,CLIQUEZ,NULL,NULL
ACHETEZ MAINTENANT,ACHETER,NULL,NULL
NOUS ACHETONS,NULL,NULL,NULL
ACHETER,,,ACHETER
CONDITION,CONDITIONS,NULL,NULL
SAVOIR,SAVOIR,NULL,NULL
CONTACTEZ-NOUS,NULL,CONTACTEZ-NOUS,NULL
Embaucher,EMBAUCHER,NULL,NULL
COÛT,COÛTS,NULL,NULL
DEVIS,NULL,NULL,NULL
CRÉDIT,CRÉDIT,CRÉDIT,NULL
COUPON,COUPONS,COUPON,NULL
TELECHARGER,NULL,NULL,NULL
RÉDUCTION,RÉDUCTIONS,,%
ARGENT,ARGENT,,
DOUCE,SUCRERIES,DULCERÍA,NULL
ECONOMIQUE,ECONOMIQUE,ECONOMIQUE,ECONOMIQUE
ÉLECTRONIQUE,ÉLECTRONIQUE,ÉLECTRONIQUE,NULL
EXPÉDITION,EXPÉDITION,EXPÉDITION,NULL
SPECIAL,SPECIAL,,
FACTURE,FACTURATION,FACTURATION,NULL
GREAT CHEAP,BON MARCHÉ,GRAND,NULL
GRATUIT,GRATUIT,,GRATUIT
Jusqu'à,,,
FOYER,NULL,NULL,NULL
FOYER,FOYER,NULL,NULL
ILLIMITÉ,ILLIMITÉ,,
ENTRER,ENTRER,NULL,NULL
ENTREZ MAINTENANT,ENTRER,NULL,ENTRER
INTÉRÊT,NULL,NULL,MSI
INTERNET,,,WEB
HIVER,NULL,NULL,NULL
IOS,NULL,NULL,NULL
JOUET,JOUETS,NULL,NULL
RÉSERVER,LIVRES,NULL,NULL
LIGNE BLANCHE,LEA,BLANC,NULL
RÈGLEMENT,RÈGLEMENTS,RÈGLEMENT,
APPELEZ-NOUS,NULL,APPELEZ-NOUS,NULL
MAQUILLAGE,MAQUILLAGE,NULL,NULL
Docteur,MÉDICAL,NULL,NULL
MOIS,NULL,NULL,NULL
MODE,MODE,NULL,NULL
MOTO,MOTOCYCLES,NULL,NULL
OFFRE,OFFRES,,%
AUTOMNE,NULL,NULL,NULL
SPONSORISÉ,SPONSORISÉ,,
PARFUM,PARFUMS,NULL,NULL
PLAN,PLANS,,
PRIX,TARIFS,,$
PRINTEMPS,NULL,NULL,NULL
PRODUIT,PRODUITS,,
PROMOTION,PROMOTIONS,PROMOTION,PROMO
PROTEGER,NULL,NULL,NULL
POINT,POINTS,,
QUALITAS,QUALITAS,QUÁLITAS,NULL
RAPIDE,RAPIDE,,
RÉDUCTION,VENTE,,-
RÉCOMPENSE,RÉCOMPENSES,,
CADEAU,CADEAUX,,
INSCRIVEZ-VOUS,INSCRIVEZ-VOUS,NULL,NULL
RESTAURANT,RESTAURANTS,,NULL
REVUE,MAGAZINES,NULL,NULL
SANTÉ,NULL,NULL,NULL
ASSURANCE,ASSURANCE,NULL,NULL
SERVICE,LES SERVICES,,
SUIVEZ-NOUS,NULL,SUIVEZ-NOUS,NULL
TAXI,TAXI,NULL,NULL
TECHNOLOGIE,TECHNOLOGIES,TECHNOLOGIE,TECHNOLOGIES
Je termine,TERMES,TERME,TERMES
TEMPS D'AIR,TIME,AIR,NULL
BOUTIQUE,BOUTIQUES,BRANCH,BRANCHES
UNETE,NULL,REJOIGNEZ,NULL
Utilisé,NULL,NULL,NULL
VENDRE,NULL,NULL,NULL
VOIR VIDÉO,REGARDER,VIDÉO,NULL
ÉTÉ,NULL,NULL,NULL
La vie,NULL,NULL,NULL
JEU VIDEO,JEUX VIDEO,NULL,NULL
SANS FIL,SANS FIL,WI-FI,WIFI
